epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.158,1.43647,2.29671,1.4377,0.64237,0.423,0.43784,0.26439,1.26545,1.1428,1.31769,0.000997512,0.000332504,0.000997512,0.000332504,0.000997512,0.000332504,0.000997512,0.000332504
2,202.916,1.2284,1.02447,1.24735,0.70101,0.63836,0.65863,0.39596,1.17526,0.81836,1.22579,0.00195796,0.000652654,0.00195796,0.000652654,0.00195796,0.000652654,0.00195796,0.000652654
3,291.905,1.16657,0.86574,1.19233,0.79925,0.65893,0.72914,0.432,1.14222,0.755,1.18624,0.00287881,0.000959604,0.00287881,0.000959604,0.00287881,0.000959604,0.00287881,0.000959604
4,379.341,1.137,0.78486,1.16635,0.76568,0.71503,0.7596,0.4509,1.11071,0.70608,1.15957,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,467.221,1.122,0.74594,1.15477,0.82142,0.68923,0.77852,0.46942,1.10117,0.6688,1.15572,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,556.204,1.10642,0.72077,1.14283,0.85204,0.69475,0.7833,0.48254,1.08432,0.64537,1.13847,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,648.432,1.09043,0.6968,1.13152,0.79942,0.73092,0.79383,0.48602,1.09016,0.62701,1.14303,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,736.096,1.07691,0.68293,1.12276,0.82756,0.74839,0.81131,0.49947,1.0712,0.62082,1.13109,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,823.302,1.07036,0.66784,1.11727,0.83939,0.7642,0.81854,0.5019,1.08028,0.62222,1.13469,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,911.417,1.06666,0.65883,1.11449,0.8679,0.74529,0.83437,0.5198,1.05947,0.6005,1.11811,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,999.75,1.05385,0.65023,1.10947,0.83188,0.76165,0.81627,0.50861,1.05788,0.59629,1.11594,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,1087.27,1.04911,0.64503,1.10401,0.87128,0.76996,0.83745,0.51501,1.06893,0.59779,1.12263,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,1175.31,1.04337,0.63742,1.10226,0.89752,0.77482,0.84331,0.51012,1.0547,0.58678,1.11243,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,1263.26,1.0417,0.63087,1.09931,0.85233,0.77611,0.83014,0.51856,1.04953,0.58369,1.10614,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,1357.64,1.02587,0.61918,1.09118,0.88493,0.77326,0.83979,0.52624,1.04616,0.58034,1.10435,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
16,1451.62,1.03,0.61519,1.09038,0.89619,0.76713,0.84094,0.52715,1.04369,0.57718,1.10325,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
17,1538.99,1.02026,0.61141,1.08524,0.88602,0.76881,0.83723,0.51873,1.04888,0.58592,1.10524,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
18,1626.61,1.01433,0.60076,1.08072,0.90123,0.77136,0.85094,0.53224,1.04588,0.57077,1.1051,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
19,1713.9,1.01865,0.60053,1.08047,0.86911,0.78956,0.84952,0.53507,1.03996,0.5658,1.10177,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
20,1801.11,1.00986,0.59344,1.07805,0.90114,0.78319,0.84954,0.53517,1.03692,0.56284,1.0961,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
21,1888.59,1.00151,0.58804,1.0755,0.85271,0.80035,0.84981,0.54082,1.03257,0.56143,1.0958,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
22,1975.74,0.99992,0.58376,1.07145,0.86992,0.7918,0.85164,0.53714,1.04032,0.55975,1.09929,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
23,2063.43,1.00126,0.58121,1.07253,0.89552,0.77592,0.8502,0.53955,1.03555,0.55524,1.09513,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
24,2151.67,0.9943,0.57859,1.07029,0.89981,0.77304,0.85499,0.52684,1.03727,0.55789,1.09817,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
25,2239.42,0.98531,0.57232,1.06283,0.87851,0.7781,0.84629,0.53981,1.02835,0.55265,1.09191,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
26,2328.35,0.98511,0.56786,1.06393,0.8837,0.77471,0.84864,0.53976,1.02739,0.55147,1.09038,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
